episode,reward,steps,success,loss,epsilon,fire_count,reason
195,-259.10,123,1,1.438021,0.6768,11,reached_exit
196,-674.90,200,0,1.559909,0.6754,10,max_steps_exceeded
197,-653.60,200,0,1.420169,0.6741,11,max_steps_exceeded
198,-167.40,90,1,1.500915,0.6727,2,reached_exit
199,-143.60,95,1,1.414443,0.6714,5,reached_exit
200,-1056.60,300,0,1.436925,0.6701,20,max_steps_exceeded
201,70.40,37,1,1.340475,0.6687,3,reached_exit
202,-54.30,5,0,2.082101,0.6674,1,hit_fire
203,-762.80,204,0,1.434005,0.6660,19,hit_fire
204,-1009.80,300,0,1.484848,0.6647,19,max_steps_exceeded
205,-699.70,265,1,1.486437,0.6634,31,reached_exit
206,-807.30,213,0,1.568568,0.6621,20,hit_fire
207,-55.00,2,0,1.179671,0.6607,1,hit_fire
208,-50.00,1,0,3.870317,0.6594,1,hit_fire
209,-1011.10,300,0,1.494166,0.6581,29,max_steps_exceeded
210,49.60,49,1,1.561178,0.6568,2,reached_exit
211,-678.80,200,0,1.618510,0.6555,6,max_steps_exceeded
212,-1822.00,500,0,1.576254,0.6541,63,max_steps_exceeded
213,-975.00,300,0,1.504616,0.6528,39,max_steps_exceeded
214,-1644.60,500,0,1.566079,0.6515,87,max_steps_exceeded
215,-1057.20,300,0,1.508758,0.6502,37,max_steps_exceeded
216,130.40,10,1,1.290839,0.6489,1,reached_exit
217,-126.90,23,0,1.449182,0.6476,2,hit_fire
218,-1001.90,300,0,1.507599,0.6463,25,max_steps_exceeded
219,102.20,26,1,1.419230,0.6450,1,reached_exit
220,-1805.90,500,0,1.530060,0.6438,38,max_steps_exceeded
221,-103.50,99,1,1.395470,0.6425,4,reached_exit
222,-124.10,74,1,1.490046,0.6412,5,reached_exit
223,-222.70,68,0,1.589177,0.6399,5,hit_fire
224,-1687.00,500,0,1.526786,0.6386,55,max_steps_exceeded
225,-102.60,69,1,1.556917,0.6373,9,reached_exit
226,-229.10,129,1,1.561607,0.6361,14,reached_exit
227,-50.00,1,0,1.179780,0.6348,1,hit_fire
228,-1668.50,500,0,1.637292,0.6335,74,max_steps_exceeded
229,-63.20,6,0,1.883632,0.6323,2,hit_fire
230,-1758.30,500,0,1.631868,0.6310,106,max_steps_exceeded
231,-73.10,7,0,1.174979,0.6297,1,hit_fire
232,-62.40,8,0,1.188570,0.6285,1,hit_fire
233,-1328.20,371,0,1.467100,0.6272,38,hit_fire
234,131.90,14,1,1.289679,0.6260,2,reached_exit
235,103.40,24,1,1.845416,0.6247,1,reached_exit
236,110.60,21,1,1.508020,0.6235,1,reached_exit
237,-1609.50,500,0,1.451654,0.6222,76,max_steps_exceeded
238,-1510.80,500,0,1.510316,0.6210,126,max_steps_exceeded
239,-192.60,71,0,1.546817,0.6197,8,hit_fire
240,-647.80,200,0,1.495755,0.6185,7,max_steps_exceeded
241,-513.90,235,1,1.591957,0.6172,28,reached_exit
242,-74.20,18,0,1.712573,0.6160,1,hit_fire
243,-654.10,200,0,1.566360,0.6148,13,max_steps_exceeded
244,-500.70,189,1,1.555919,0.6136,21,reached_exit
245,-51.70,8,0,1.872434,0.6123,1,hit_fire
246,-742.40,242,0,1.539320,0.6111,14,hit_fire
247,-1514.50,500,0,1.548301,0.6099,96,max_steps_exceeded
248,-6.10,63,1,1.605058,0.6087,5,reached_exit
249,-196.50,102,1,1.609562,0.6074,5,reached_exit
250,-50.10,2,0,1.244189,0.6062,1,hit_fire
251,-309.80,84,0,1.561636,0.6050,8,hit_fire
252,149.60,5,1,1.517549,0.6038,1,reached_exit
253,143.30,9,1,2.498716,0.6026,1,reached_exit
254,139.10,12,1,1.553249,0.6014,4,reached_exit
255,-322.10,108,0,1.536824,0.6002,7,hit_fire
256,-29.00,55,1,1.745293,0.5990,7,reached_exit
257,139.00,22,1,1.487131,0.5978,2,reached_exit
258,-426.50,123,0,1.592349,0.5966,8,hit_fire
259,-1023.70,300,0,1.645024,0.5954,40,max_steps_exceeded
260,105.60,29,1,1.732673,0.5942,2,reached_exit
261,-1055.20,377,0,1.627035,0.5930,54,hit_fire
262,-146.90,99,1,1.525540,0.5918,6,reached_exit
263,-987.30,442,0,1.634358,0.5907,89,hit_fire
264,-234.30,70,0,1.788488,0.5895,4,hit_fire
265,-1363.20,500,0,1.591360,0.5883,63,max_steps_exceeded
266,-1098.60,382,0,1.636685,0.5871,57,hit_fire
267,-112.90,37,0,1.506329,0.5859,2,hit_fire
268,-85.00,16,0,1.477196,0.5848,3,hit_fire
269,-921.60,300,0,1.663529,0.5836,19,max_steps_exceeded
270,-1802.20,500,0,1.612378,0.5824,86,max_steps_exceeded
271,-885.80,300,0,1.646757,0.5813,26,max_steps_exceeded
272,-688.80,247,1,1.626944,0.5801,26,reached_exit
273,-654.60,155,0,1.632050,0.5789,17,hit_fire
274,-407.60,183,1,1.629213,0.5778,8,reached_exit
275,-602.80,200,0,1.538409,0.5766,32,max_steps_exceeded
276,-1440.10,500,0,1.593264,0.5755,66,max_steps_exceeded
277,110.30,15,1,1.479883,0.5743,2,reached_exit
278,-664.50,200,0,1.598492,0.5732,8,max_steps_exceeded
279,24.80,50,1,1.467166,0.5720,2,reached_exit
280,-263.80,124,1,1.535834,0.5709,9,reached_exit
281,-190.70,63,0,1.394968,0.5697,6,hit_fire
282,-759.20,297,0,1.607941,0.5686,56,hit_fire
283,-910.80,300,0,1.609211,0.5675,35,max_steps_exceeded
284,-860.80,300,0,1.570107,0.5663,15,max_steps_exceeded
285,-1392.70,500,0,1.576515,0.5652,93,max_steps_exceeded
286,-723.10,282,1,1.545200,0.5641,31,reached_exit
287,-1591.80,500,0,1.670130,0.5629,57,max_steps_exceeded
288,-683.70,200,0,1.570020,0.5618,6,max_steps_exceeded
289,-460.30,140,0,1.501607,0.5607,7,hit_fire
290,-1247.40,500,0,1.598616,0.5596,119,max_steps_exceeded
291,111.40,19,1,1.389884,0.5585,2,reached_exit
292,-1781.10,500,0,1.548034,0.5573,88,max_steps_exceeded
293,-366.40,175,1,1.550738,0.5562,6,reached_exit
294,-1572.50,500,0,1.542417,0.5551,37,max_steps_exceeded
295,-1452.40,429,0,1.525975,0.5540,34,hit_fire
296,135.00,4,1,1.315702,0.5529,1,reached_exit
297,-1517.10,500,0,1.651376,0.5518,92,max_steps_exceeded
298,139.80,5,1,1.154809,0.5507,1,reached_exit
299,-679.10,224,0,1.459178,0.5496,28,hit_fire
300,-1582.80,500,0,1.532148,0.5485,74,max_steps_exceeded
301,72.20,37,1,1.427715,0.5474,1,reached_exit
302,-664.40,200,0,1.557356,0.5463,11,max_steps_exceeded
303,-415.50,144,0,1.493871,0.5452,19,hit_fire
304,-656.40,200,0,1.492476,0.5441,8,max_steps_exceeded
305,-197.90,74,0,1.506573,0.5430,5,hit_fire
306,-229.70,154,1,1.599143,0.5419,24,reached_exit
307,-1196.20,370,0,1.640899,0.5408,24,hit_fire
308,-113.40,44,0,1.555549,0.5398,3,hit_fire
309,-200.30,69,0,1.739099,0.5387,6,hit_fire
310,-884.70,300,0,1.569491,0.5376,26,max_steps_exceeded
311,-574.60,200,0,1.570224,0.5365,7,max_steps_exceeded
312,-638.60,200,0,1.566686,0.5355,9,max_steps_exceeded
313,-20.30,72,1,1.593845,0.5344,9,reached_exit
314,-219.90,69,0,1.764449,0.5333,2,hit_fire
315,-1668.70,500,0,1.633398,0.5323,64,max_steps_exceeded
316,-786.50,272,0,1.517664,0.5312,54,hit_fire
317,-1013.90,361,0,1.623756,0.5301,53,hit_fire
318,101.70,21,1,1.420582,0.5291,6,reached_exit
319,-211.30,127,1,1.618199,0.5280,13,reached_exit
320,-675.30,200,0,1.580604,0.5270,9,max_steps_exceeded
321,-656.60,200,0,1.604979,0.5259,9,max_steps_exceeded
322,149.90,2,1,1.564273,0.5248,1,reached_exit
323,-276.50,180,1,1.599368,0.5238,12,reached_exit
324,-590.10,200,0,1.579189,0.5228,8,max_steps_exceeded
325,-875.80,300,0,1.629969,0.5217,12,max_steps_exceeded
326,-1162.50,387,0,1.550488,0.5207,56,hit_fire
327,79.10,22,1,1.435778,0.5196,1,reached_exit
328,-2171.60,500,0,1.549035,0.5186,114,max_steps_exceeded
329,136.60,7,1,2.261390,0.5175,1,reached_exit
330,137.70,6,1,1.358331,0.5165,1,reached_exit
331,51.10,44,1,1.628485,0.5155,1,reached_exit
332,-1273.10,382,0,1.631785,0.5144,81,hit_fire
333,96.20,25,1,1.622318,0.5134,2,reached_exit
334,139.60,6,1,1.472499,0.5124,1,reached_exit
335,-1490.50,500,0,1.635801,0.5114,103,max_steps_exceeded
336,-1101.50,300,0,1.615614,0.5103,27,max_steps_exceeded
337,-187.70,132,1,1.783715,0.5093,17,reached_exit
338,-116.20,42,0,1.767759,0.5083,2,hit_fire
339,-482.30,149,0,1.710168,0.5073,33,hit_fire
340,-372.30,187,1,1.729150,0.5063,14,reached_exit
341,144.60,6,1,1.428531,0.5053,1,reached_exit
342,-1212.80,332,0,1.670818,0.5042,30,hit_fire
343,143.30,9,1,1.724951,0.5032,1,reached_exit
344,-584.80,200,0,1.726243,0.5022,6,max_steps_exceeded
345,-588.60,200,0,1.707080,0.5012,9,max_steps_exceeded
346,-746.70,211,0,1.717349,0.5002,30,hit_fire
347,-177.90,111,1,1.654489,0.4992,16,reached_exit
348,-565.60,200,0,1.724960,0.4982,15,max_steps_exceeded
349,-1541.30,479,0,1.689438,0.4972,91,hit_fire
350,-1357.00,500,0,1.702665,0.4962,65,max_steps_exceeded
351,-663.20,200,0,1.846416,0.4952,3,max_steps_exceeded
352,-235.60,158,1,1.712363,0.4943,7,reached_exit
353,-622.70,200,0,1.759285,0.4933,10,max_steps_exceeded
354,-119.90,37,0,1.735884,0.4923,1,hit_fire
355,-52.10,3,0,2.015895,0.4913,1,hit_fire
356,121.10,13,1,1.424757,0.4903,1,reached_exit
357,-1363.80,500,0,1.723372,0.4893,84,max_steps_exceeded
358,-462.90,129,0,1.691418,0.4884,16,hit_fire
359,139.30,10,1,1.447722,0.4874,2,reached_exit
360,150.00,1,1,1.456454,0.4864,1,reached_exit
361,-638.10,200,0,1.732909,0.4854,12,max_steps_exceeded
362,-1473.90,500,0,1.623544,0.4845,100,max_steps_exceeded
363,-1533.20,500,0,1.711873,0.4835,112,max_steps_exceeded
364,-1076.00,428,0,1.620283,0.4825,74,hit_fire
365,-632.70,200,0,1.660767,0.4816,4,max_steps_exceeded
366,-1320.80,500,0,1.696726,0.4806,92,max_steps_exceeded
367,-1369.70,500,0,1.609531,0.4796,105,max_steps_exceeded
368,-1623.70,500,0,1.618789,0.4787,49,max_steps_exceeded
369,-1598.70,500,0,1.656072,0.4777,87,max_steps_exceeded
370,-161.20,43,0,1.660417,0.4768,2,hit_fire
371,-1398.60,500,0,1.681413,0.4758,79,max_steps_exceeded
372,119.70,10,1,1.667521,0.4749,1,reached_exit
373,140.80,13,1,1.918446,0.4739,1,reached_exit
374,-1729.60,500,0,1.683517,0.4730,36,max_steps_exceeded
375,-971.00,300,0,1.634677,0.4720,40,max_steps_exceeded
376,-1390.90,500,0,1.644076,0.4711,45,max_steps_exceeded
377,75.20,45,1,1.802954,0.4701,3,reached_exit
378,-19.10,77,1,1.636742,0.4692,3,reached_exit
379,-92.30,22,0,1.506766,0.4682,1,hit_fire
380,-23.40,76,1,1.749937,0.4673,3,reached_exit
381,-621.40,279,1,1.714592,0.4664,28,reached_exit
382,144.90,3,1,1.628687,0.4654,1,reached_exit
383,-146.80,62,0,1.752836,0.4645,4,hit_fire
384,-737.90,200,0,1.840197,0.4636,8,max_steps_exceeded
385,-1392.40,500,0,1.747496,0.4627,81,max_steps_exceeded
386,-1315.90,500,0,1.730588,0.4617,109,max_steps_exceeded
387,-40.30,76,1,1.840196,0.4608,8,reached_exit
388,-1004.80,296,0,1.759662,0.4599,16,hit_fire
389,-229.80,127,1,1.804537,0.4590,6,reached_exit
390,-266.10,137,1,1.613928,0.4580,7,reached_exit
391,-218.00,141,1,1.766307,0.4571,4,reached_exit
392,-690.60,200,0,1.815470,0.4562,11,max_steps_exceeded
393,3.20,58,1,1.807192,0.4553,1,reached_exit
394,129.80,25,1,2.109489,0.4544,4,reached_exit
395,37.70,41,1,1.736183,0.4535,7,reached_exit
396,-1488.90,500,0,1.790852,0.4526,115,max_steps_exceeded
397,-2010.80,500,0,1.754541,0.4517,47,max_steps_exceeded
398,-520.80,238,1,1.796806,0.4508,14,reached_exit
399,-186.60,150,1,1.742996,0.4499,1,reached_exit
400,-594.90,260,1,1.732913,0.4490,30,reached_exit
401,-1937.00,500,0,1.876114,0.4481,60,max_steps_exceeded
402,144.90,3,1,2.388526,0.4472,1,reached_exit
403,123.50,21,1,1.701188,0.4463,2,reached_exit
404,-55.00,2,0,1.488611,0.4454,1,hit_fire
405,-1002.40,300,0,1.877444,0.4445,30,max_steps_exceeded
406,40.90,43,1,1.969475,0.4436,1,reached_exit
407,-1078.40,500,0,1.817176,0.4427,82,max_steps_exceeded
408,68.30,39,1,1.927675,0.4418,1,reached_exit
409,-53.80,84,1,1.828734,0.4410,5,reached_exit
410,-1692.40,500,0,1.843923,0.4401,36,max_steps_exceeded
411,-55.50,7,0,2.347415,0.4392,1,hit_fire
412,97.00,38,1,1.896928,0.4383,6,reached_exit
413,-102.90,81,1,1.746917,0.4374,2,reached_exit
414,115.20,24,1,1.887441,0.4366,2,reached_exit
415,-1576.60,360,0,1.818790,0.4357,32,hit_fire
416,-1420.80,423,0,1.799661,0.4348,97,hit_fire
417,149.80,3,1,1.271899,0.4339,2,reached_exit
418,142.50,16,1,1.827644,0.4331,1,reached_exit
419,127.60,10,1,2.033359,0.4322,2,reached_exit
420,126.30,21,1,1.966991,0.4313,3,reached_exit
421,-1358.10,500,0,1.894490,0.4305,97,max_steps_exceeded
422,-50.30,4,0,1.696039,0.4296,1,hit_fire
423,-160.80,62,0,1.816880,0.4288,4,hit_fire
424,-305.70,137,1,2.018639,0.4279,5,reached_exit
425,-607.70,256,0,1.847714,0.4271,49,hit_fire
426,-111.70,20,0,2.128523,0.4262,2,hit_fire
427,-527.00,175,0,1.853705,0.4253,36,hit_fire
428,-1640.30,500,0,1.839368,0.4245,87,max_steps_exceeded
429,148.60,5,1,2.866618,0.4236,1,reached_exit
430,-717.80,316,1,1.836378,0.4228,38,reached_exit
431,130.70,17,1,1.768511,0.4220,2,reached_exit
432,134.30,19,1,1.725779,0.4211,2,reached_exit
433,-34.60,65,1,1.979069,0.4203,5,reached_exit
434,-111.90,21,0,2.184752,0.4194,1,hit_fire
435,-932.40,363,0,1.909780,0.4186,57,hit_fire
436,-1235.30,500,0,1.902064,0.4177,91,max_steps_exceeded
437,-633.20,200,0,1.935076,0.4169,2,max_steps_exceeded
438,104.40,28,1,1.979144,0.4161,2,reached_exit
439,-1060.20,300,0,1.890534,0.4152,32,max_steps_exceeded
440,-956.20,300,0,1.917205,0.4144,31,max_steps_exceeded
441,143.40,18,1,1.774731,0.4136,2,reached_exit
442,-29.70,62,1,1.877817,0.4128,1,reached_exit
443,97.20,27,1,2.023082,0.4119,2,reached_exit
444,103.70,29,1,2.080669,0.4111,3,reached_exit
445,-998.90,300,0,1.852630,0.4103,15,max_steps_exceeded
446,-1705.90,500,0,1.977567,0.4095,68,max_steps_exceeded
447,132.60,18,1,2.236376,0.4087,2,reached_exit
448,-665.40,207,0,2.016568,0.4078,10,hit_fire
449,-644.90,315,1,2.008185,0.4070,76,reached_exit
450,-1643.50,500,0,1.887025,0.4062,62,max_steps_exceeded
451,-1834.20,500,0,1.975587,0.4054,68,max_steps_exceeded
452,128.90,15,1,2.119421,0.4046,1,reached_exit
453,112.80,28,1,2.071855,0.4038,1,reached_exit
454,108.70,28,1,2.027097,0.4030,2,reached_exit
455,-331.90,160,1,2.014663,0.4022,10,reached_exit
456,-81.10,18,0,2.022543,0.4014,1,hit_fire
